Thu Nov 21 15:50:49 2013    profile.txt

         1517395 function calls (1517211 primitive calls) in 10.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
     11/1    0.000    0.000   10.950   10.950 {built-in method exec}
        9    0.000    0.000    0.000    0.000 sre_parse.py:255(_class_escape)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
       52    0.000    0.000    0.000    0.000 {built-in method min}
       25    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
     18/4    0.000    0.000    0.043    0.011 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
       42    0.000    0.000    0.000    0.000 {built-in method getattr}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1041(path_stats)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
       14    0.000    0.000    0.021    0.002 <frozen importlib._bootstrap>:1305(find_module)
        1    0.000    0.000    0.004    0.004 hashlib.py:53(<module>)
        3    0.000    0.000    0.000    0.000 sre_compile.py:179(_compile_charset)
        1    0.000    0.000    0.000    0.000 sre_compile.py:259(_mk_bitmap)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
        7    0.000    0.000    0.000    0.000 sre_parse.py:297(_escape)
       41    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      3/2    0.000    0.000    0.013    0.007 {built-in method __import__}
       33    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ElementTree.py:1715(parse)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:776(find_module)
      5/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:496(set_package_wrapper)
       36    0.000    0.000    0.000    0.000 {built-in method get_ident}
       14    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
     10/5    0.000    0.000    0.041    0.008 <frozen importlib._bootstrap>:997(load_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
       21    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method ord}
      3/2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap>:1126(load_module)
       14    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1425(<genexpr>)
        7    0.000    0.000    0.000    0.000 sre_compile.py:358(_simple)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:129(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E241408}
      5/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:509(set_loader_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        1    0.000    0.000    0.023    0.023 cElementTree.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 re.py:268(_compile)
       24    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1572(_gcd_import)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1144(is_package)
        1    0.000    0.000    0.000    0.000 discret.py:3(<module>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:365(_compile_info)
       10    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
       18    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.005    0.005 sabot.py:4(__init__)
        1    0.000    0.000    0.005    0.005 ElementPath.py:59(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1338(<genexpr>)
        1    0.000    0.000    0.013    0.013 sabot.py:1(<module>)
        1    0.000    0.000    0.005    0.005 sre_compile.py:489(compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1437(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1240(parse)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:114(_path_isdir)
        9    0.000    0.000    0.000    0.000 {built-in method setattr}
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
