Fri Nov 22 14:52:50 2013    profile

         12177173 function calls (12176988 primitive calls) in 53.579 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.000    0.000 {built-in method release_lock}
        3    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:207(_optimize_charset)
        2    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       20    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
       12    0.000    0.000    0.000    0.000 {built-in method is_builtin}
     10/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:1017(load_module)
     19/5    0.000    0.000    0.097    0.019 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
       28    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:127(__len__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
        9    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:254(_class_escape)
       42    0.000    0.000    0.000    0.000 {built-in method getattr}
       52    0.000    0.000    0.000    0.000 {built-in method min}
        1    0.000    0.000    0.005    0.005 C:\Python33\lib\hashlib.py:53(<module>)
       25    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:139(append)
       14    0.000    0.000    0.025    0.002 <frozen importlib._bootstrap>:1303(find_module)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:258(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:178(_compile_charset)
        1    0.000    0.000    0.001    0.001 C:\Python33\lib\xml\etree\ElementTree.py:1715(parse)
       33    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1039(path_stats)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
        1    0.000    0.000   53.579   53.579 countlib.py:3(<module>)
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:774(find_module)
       41    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1024(get_filename)
      3/2    0.000    0.000    0.014    0.007 {built-in method __import__}
        7    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:296(_escape)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:641(find_module)
     10/5    0.000    0.000    0.103    0.021 <frozen importlib._bootstrap>:995(load_module)
       36    0.000    0.000    0.000    0.000 {built-in method get_ident}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1011(__init__)
       13    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1594(_handle_fromlist)
      5/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:494(set_package_wrapper)
       21    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:91(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method ord}
      3/2    0.000    0.000    0.007    0.003 <frozen importlib._bootstrap>:1124(load_module)
        7    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:357(_simple)
       14    0.000    0.000    0.000    0.000 {built-in method is_frozen}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1423(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Python33\lib\hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1330(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\abc.py:129(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E2414E8}
      5/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:507(set_loader_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1142(is_package)
        1    0.000    0.000    0.075    0.075 C:\Python33\lib\xml\etree\cElementTree.py:3(<module>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1570(_gcd_import)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1055(set_data)
       24    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.005    0.005 C:\Python33\lib\re.py:268(_compile)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 C:\Python33\lib\xml\etree\ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:362(_compile_info)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_w_long)
        1    0.000    0.000    0.005    0.005 .\sabot.py:4(__init__)
       18    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:114(_path_isdir)
        1    0.000    0.000    0.000    0.000 {built-in method dumps}
        1    0.000    0.000    0.000    0.000 .\discret.py:3(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        1    0.000    0.000    0.005    0.005 C:\Python33\lib\sre_compile.py:486(compile)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\random.py:93(seed)
        1    0.000    0.000    0.003    0.003 C:\Python33\lib\sre_parse.py:737(parse)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
       12    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 C:\Python33\lib\xml\etree\ElementTree.py:1240(parse)
        1    0.000    0.000    0.014    0.014 .\sabot.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1435(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 .\discret.py:31(texte_discret)
        9    0.000    0.000    0.000    0.000 {built-in method setattr}
        3    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\random.py:68(Random)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:149(Element)
        3    0.000    0.000    0.000    0.000 C:\Python33\lib\_weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\abc.py:132(<setcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x02A22780}
        7    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1120(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method max}
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1044(_cache_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:591(_requires_builtin_wrapper)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method exp}
